日期,月度成交均价（厘/千瓦时）,价格_元_MWh,月度总成交量（亿千瓦时）,成交量_GWh,用电侧HHI,发电侧HHI,发电侧Top4份额
202201,497.8,4978,190.1,19010,465,1137,0.52
202202,496.6,4966,148,14800,485,1320,0.55
202203,496.3,4963,226.4,22640,452,1411,0.57
202204,496.8,4968,222.1,22210,456,1232,0.53
202205,497.1,4971,238.8,23880,462,1233,0.55
202206,495.2,4952,237.4,23740,458,1272,0.56
202207,495.2,4952,246.7,24670,443,1319,0.56
202208,495.2,4952,242.2,24220,451,1428,0.57
202209,495.9,4959,224.8,22480,455,1337,0.55
202210,496.8,4968,213.7,21370,481,1380,0.56
202211,497.6,4976,214.7,21470,476,1309,0.55
202212,496.1,4961,216.1,21610,478,1342,0.55
202301,546.7,5467,132.5,13250,573,1276,0.57
202302,546.2,5462,164.7,16470,515,1259,0.55
202303,546.6,5466,210.1,21010,515,1241,0.53
202304,547,5470,208.3,20830,517,1111,0.49
202305,546.9,5469,218,21800,510,1033,0.5
202306,546.4,5464,221.9,22190,509,1132,0.51
202307,546.2,5462,235.7,23570,510,1155,0.52
202308,543.7,5437,235,23500,516,1177,0.52
202309,541.8,5418,225.1,22510,513,1242,0.53
202310,543.5,5435,206.2,20620,515,1121,0.48
202311,544.4,5444,195.3,19530,510,1052,0.45
202312,536,5360,200,20000,514,1077,0.47
202401,465.9,4659,187.4,18740,412,1394,0.56
202402,464.7,4647,113.1,11310,435,1305,0.58
202403,465.1,4651,218.3,21830,410,1151,0.54
202404,461.6,4616,211,21100,422,1193,0.54
202405,463.1,4631,232.4,23240,420,1216,0.56
202406,460.5,4605,243.4,24340,412,1270,0.56
202407,461.8,4618,261.4,26140,404,1339,0.56
202408,462.2,4622,260.2,26020,403,1387,0.58
202409,462.1,4621,238.4,23840,407,1313,0.56
202410,462,4620,233,23300,403,1377,0.58
202411,460.3,4603,224.3,22430,404,1340,0.57
202412,460.9,4609,227.7,22770,409,1337,0.55
